A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	1	#	0	0	0	0	1.000	1.000	8	58.28	960	0	0.67		63	63
#	#	#	1	1	1	1	0.501	0.871	9	61.34	958	1	0.50		108	124
#	#	0	#	#	#	0	0.097	0.628	4	49.13	994	3	0.17		312	497
#	0	#	#	0	0	1	0.001	0.258	1	75.69	966	6	0.50		32	124
1	#	1	0	1	0	0	0.037	0.516	1	50.74	903	7	0.83		16	31
1	0	0	#	#	0	1	0.034	0.508	4	70.19	951	8	0.67		31	61
0	#	1	#	0	1	1	0.237	0.750	2	42.49	971	11	0.67		48	64
1	#	0	0	#	1	1	0.250	0.758	1	60.60	973	13	0.67		47	62
0	#	1	#	#	#	0	0.001	0.253	3	48.61	989	14	0.33		63	249
#	1	1	0	1	#	1	0.001	0.258	2	53.07	977	17	0.67		16	62
#	#	#	0	1	1	1	0.096	0.626	1	52.40	977	20	0.50		77	123
#	1	0	#	#	0	1	0.001	0.258	1	32.68	917	21	0.50		32	124
#	1	#	#	0	#	1	0.033	0.506	1	51.74	999	25	0.33		124	245
0	#	0	#	#	#	0	0.239	0.751	4	49.57	975	28	0.33		181	241
#	#	#	#	#	0	1	0.008	0.377	4	54.67	990	36	0.17		182	483
#	0	#	0	0	#	0	0.241	0.752	2	68.96	997	37	0.50		91	121
#	#	#	#	1	1	1	0.236	0.749	7	58.20	977	41	0.33		179	239
#	1	#	1	0	#	0	0.001	0.250	1	49.78	914	43	0.50		30	120
#	#	1	#	#	0	0	0.031	0.500	2	61.35	997	47	0.33		119	238
#	#	0	#	#	0	0	0.234	0.748	1	43.55	994	53	0.33		178	238
1	#	0	#	#	#	0	0.033	0.504	1	53.00	994	53	0.33		119	236
#	#	#	1	0	#	0	0.030	0.496	3	59.41	959	63	0.33		116	234
#	#	1	#	#	#	0	0.007	0.371	4	58.38	997	64	0.17		174	469
#	#	#	#	0	0	1	0.001	0.254	1	63.73	966	70	0.33		59	232
#	0	#	#	#	0	1	0.032	0.502	3	69.40	990	70	0.33		116	231
1	#	1	0	#	0	0	0.251	0.759	1	68.30	997	71	0.67		44	58
#	#	1	#	1	0	0	0.007	0.371	1	51.54	903	71	0.50		43	116
#	0	0	#	#	#	0	0.244	0.754	7	65.34	975	76	0.33		172	228
1	#	#	0	0	#	0	0.224	0.741	2	72.13	997	76	0.50		86	116
#	1	1	#	1	#	1	0.031	0.500	1	49.59	977	81	0.50		57	114
#	1	1	0	1	#	0	0.244	0.754	3	53.07	989	81	0.67		43	57
#	0	0	#	#	0	0	0.237	0.750	2	68.89	975	92	0.50		84	112
0	#	1	#	0	#	0	0.001	0.248	1	50.14	960	99	0.50		28	113
1	#	#	#	1	1	1	1.000	1.000	11	66.36	977	105	0.50		111	111
1	#	#	1	0	#	0	0.234	0.748	3	69.99	959	107	0.50		83	111
1	0	#	#	#	0	1	0.029	0.491	1	75.01	951	119	0.50		54	110
#	#	1	1	1	1	1	1.000	1.000	3	65.02	958	126	0.67		54	54
1	1	1	0	1	#	0	0.026	0.481	1	60.33	903	135	0.83		13	27
#	#	1	0	1	0	0	0.034	0.509	1	51.14	903	135	0.67		27	53
1	1	#	#	#	#	1	0.031	0.500	1	55.12	999	141	0.33		108	216
#	#	0	#	0	1	1	0.007	0.371	1	60.02	973	141	0.50		39	105
#	0	1	1	#	0	1	0.252	0.759	3	67.24	990	144	0.67		41	54
#	#	0	#	#	0	1	0.001	0.250	2	43.55	951	149	0.33		53	212
#	#	#	#	0	#	0	0.094	0.623	4	60.85	997	163	0.17		261	419
1	#	#	#	#	1	1	0.235	0.749	6	66.07	999	169	0.33		155	207
#	#	1	1	0	#	0	0.007	0.369	1	58.02	959	171	0.50		38	103
#	0	0	#	#	0	1	0.001	0.245	4	68.89	951	183	0.50		25	102
1	0	#	1	#	0	1	0.028	0.490	2	76.20	951	183	0.67		25	51
