A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	1	1	1	1	0.512	0.875	10	181.45	5944	1	0.50		656	750
#	#	0	#	#	#	0	0.095	0.625	3	148.09	5970	3	0.17		1873	2998
1	#	1	0	1	0	0	0.032	0.503	1	160.08	5639	7	0.83		94	187
1	0	0	#	#	0	1	0.032	0.501	1	159.37	5943	8	0.67		187	373
0	#	1	#	0	1	1	0.237	0.750	5	142.99	5979	11	0.67		282	376
1	#	0	0	#	1	1	0.240	0.752	7	157.49	5985	13	0.67		282	375
#	#	#	0	1	1	1	0.096	0.626	1	153.26	5985	20	0.50		468	748
#	1	#	#	0	#	1	0.032	0.501	1	148.08	5996	25	0.33		749	1495
0	#	0	#	#	#	0	0.237	0.750	11	142.47	5967	28	0.33		1118	1491
#	0	#	0	0	#	0	0.238	0.750	4	169.93	5989	37	0.50		559	745
#	#	#	#	1	1	1	0.238	0.750	7	162.23	5985	41	0.33		1118	1490
#	#	0	#	#	0	0	0.237	0.750	3	138.89	5970	53	0.33		1115	1487
1	#	1	0	#	0	0	0.239	0.751	1	180.84	5989	71	0.67		278	370
#	0	0	#	#	#	0	0.237	0.750	11	153.21	5967	76	0.33		1109	1479
1	#	#	0	0	#	0	0.235	0.749	4	171.11	5989	76	0.50		554	740
#	1	1	0	1	#	0	0.238	0.751	5	148.65	5981	81	0.67		277	369
#	0	0	#	#	0	0	0.238	0.750	2	151.43	5967	92	0.50		553	737
1	#	#	#	1	1	1	1.000	1.000	18	174.87	5985	105	0.50		737	737
1	#	#	1	0	#	0	0.236	0.749	5	153.06	5970	107	0.50		552	737
#	#	1	1	1	1	1	1.000	1.000	11	235.18	5944	126	0.67		366	366
1	1	#	#	#	#	1	0.031	0.500	2	147.17	5996	141	0.33		733	1467
#	0	1	1	#	0	1	0.239	0.751	4	170.68	5968	144	0.67		275	366
#	#	#	#	0	#	0	0.095	0.625	4	149.70	5989	163	0.17		1823	2918
1	#	#	#	#	1	1	0.238	0.750	8	159.29	5996	169	0.33		1094	1458
1	0	#	1	#	0	1	0.031	0.499	1	163.58	5968	183	0.67		181	363
#	#	1	#	1	1	1	0.511	0.874	7	184.89	5944	190	0.50		634	725
#	1	1	#	#	0	0	0.236	0.749	4	152.42	5999	199	0.50		544	726
#	#	1	#	0	1	1	0.096	0.626	3	144.20	5979	203	0.50		454	725
1	#	#	0	#	1	1	0.240	0.752	9	155.88	5985	205	0.50		545	725
1	#	0	#	#	1	1	0.239	0.751	4	157.06	5996	205	0.50		544	724
#	#	#	0	0	0	0	0.513	0.875	11	188.19	5989	229	0.50		630	720
#	0	1	#	#	0	1	0.238	0.750	5	165.00	5968	230	0.50		541	721
#	0	0	1	#	#	0	0.237	0.750	5	146.03	5916	234	0.50		540	720
1	0	0	1	#	0	1	0.030	0.497	1	153.04	5943	247	0.83		89	179
1	#	#	#	0	#	0	0.236	0.749	9	158.86	5989	249	0.33		1077	1437
#	#	1	1	#	1	1	0.512	0.875	10	188.27	5944	254	0.50		628	718
#	#	1	#	1	#	1	0.236	0.749	9	162.14	5988	254	0.33		1076	1436
0	#	#	#	0	1	1	0.031	0.500	1	142.04	5979	267	0.50		358	716
1	0	1	#	#	0	1	0.031	0.499	1	173.47	5968	272	0.67		178	357
#	1	#	#	0	#	0	0.031	0.500	1	148.08	5970	291	0.33		713	1427
#	#	0	#	0	#	0	0.238	0.750	8	151.98	5970	306	0.33		1067	1422
#	#	1	#	#	#	1	0.095	0.625	3	151.59	5988	318	0.17		1776	2842
#	0	1	#	#	#	1	0.239	0.751	11	167.61	5979	326	0.33		1064	1417
1	1	#	#	#	1	1	1.000	1.000	29	155.31	5996	333	0.50		709	709
#	1	1	0	#	#	0	0.238	0.750	4	140.16	5981	349	0.50		529	705
#	#	0	1	0	#	0	0.095	0.625	1	145.04	5970	352	0.50		441	706
1	#	#	1	#	1	1	0.238	0.750	2	172.75	5996	361	0.50		529	705
#	#	#	#	0	1	1	0.031	0.500	1	144.80	5996	369	0.33		703	1407
#	#	#	#	0	0	0	0.237	0.750	6	157.32	5989	373	0.33		1055	1407
#	#	0	#	1	#	1	0.031	0.500	2	146.39	5985	406	0.33		700	1400
0	0	0	#	#	#	0	1.000	1.000	27	143.22	5967	408	0.50		699	699
#	#	1	1	#	0	1	0.095	0.624	1	153.67	5988	414	0.50		437	700
#	0	0	#	0	#	0	1.000	1.000	19	164.41	5967	426	0.50		696	696
#	1	1	#	1	0	0	0.237	0.750	1	148.70	5999	431	0.67		261	348
#	0	0	#	1	#	0	0.031	0.499	3	143.67	5916	476	0.50		344	690
1	#	#	1	1	#	1	0.235	0.749	4	161.98	5968	521	0.50		512	684
1	#	0	#	0	1	1	0.032	0.501	1	151.49	5996	525	0.67		171	341
1	#	#	#	1	#	1	0.236	0.749	9	154.38	5985	528	0.33		1025	1368
#	0	#	0	0	0	0	0.237	0.750	4	184.05	5989	549	0.67		255	340
#	0	#	#	0	#	0	0.237	0.750	7	157.68	5989	554	0.33		1020	1360
#	#	1	#	#	1	1	0.237	0.750	5	152.42	5979	574	0.33		1017	1356
1	#	1	#	0	#	0	0.236	0.749	3	159.31	5989	575	0.50		507	677
#	0	#	1	0	#	0	0.236	0.749	1	151.00	5951	575	0.50		507	677
1	0	#	#	0	#	0	1.000	1.000	34	175.82	5989	588	0.50		673	673
#	0	1	#	1	#	1	1.000	1.000	29	186.48	5968	606	0.50		673	673
1	#	#	0	#	0	0	0.238	0.751	4	175.70	5989	629	0.50		503	670
#	1	#	1	#	#	1	0.236	0.749	13	147.07	5996	685	0.33		996	1329
#	0	#	#	1	0	1	0.237	0.750	4	154.51	5968	720	0.50		494	659
#	#	1	0	0	0	0	0.237	0.750	4	177.00	5989	741	0.67		246	328
1	#	#	#	0	0	0	1.000	1.000	29	177.09	5989	757	0.50		655	655
#	0	#	1	1	0	1	0.236	0.749	2	161.61	5968	759	0.67		245	327
#	1	#	#	#	1	1	0.238	0.750	7	148.88	5996	807	0.33		974	1298
1	#	1	1	#	1	1	0.237	0.750	1	192.31	5799	807	0.67		243	324
#	1	#	0	0	#	0	0.235	0.749	2	148.23	5952	832	0.50		483	645
#	#	1	0	0	#	0	0.094	0.624	2	149.95	5989	832	0.50		403	646
1	1	#	#	1	#	1	0.031	0.498	1	149.74	5985	865	0.50		320	642
0	1	#	#	0	#	0	0.031	0.500	1	144.03	5952	867	0.50		320	640
#	0	#	#	1	#	1	0.236	0.749	7	163.22	5968	887	0.33		957	1277
#	#	#	#	#	1	1	0.096	0.626	4	151.60	5996	935	0.17		1584	2532
#	#	#	1	#	1	1	0.238	0.750	6	161.18	5996	937	0.33		950	1266
